eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8
9.172541909797395476e+00,6.299724413097880671e+00,4.899229124070387797e+00,4.128168334424130670e+00,3.517058927943802704e+00,3.244339275293830926e+00,2.559928764884551899e+00,2.234299565248724306e+00
9.371121583821111045e+00,6.200375022859068608e+00,4.988345652730435731e+00,4.213307790036612488e+00,3.460469773996879272e+00,3.210966839865835531e+00,2.497296859992171658e+00,2.185889787779729421e+00
9.448044414860888196e+00,6.158944568549806320e+00,4.952110214748693728e+00,4.229802132147138849e+00,3.417629225258094205e+00,3.180613701384085612e+00,2.451997790674759869e+00,2.166624294780237214e+00
9.435322461604791044e+00,6.166533042963369127e+00,4.903221664626904897e+00,4.221038387174491646e+00,3.377980641466282297e+00,3.152284530735633528e+00,2.433987868852557579e+00,2.199702450620198313e+00
9.437405078076441356e+00,6.137217297131423166e+00,4.887365762543858239e+00,4.219055748694498398e+00,3.360697815599172245e+00,3.136719904353213462e+00,2.411217351295503519e+00,2.178699888254461037e+00
9.416730065153725349e+00,6.089487899317759911e+00,4.861540809878550640e+00,4.195554936610559338e+00,3.409038726553588639e+00,3.138866267389477382e+00,2.398884433496750290e+00,2.162733116808908118e+00
1.019961934876529597e+01,5.935984356686367036e+00,4.722157139357934241e+00,4.123784285676338257e+00,3.371379558679330035e+00,3.113766432899895076e+00,2.339672286159087289e+00,2.131229731711939301e+00
1.016310142806501204e+01,5.882793620341294272e+00,4.683812835900120319e+00,4.100464950007860487e+00,3.338337490888216852e+00,3.107264694313697007e+00,2.326132807722286699e+00,2.115198243849786497e+00
1.005365138906486067e+01,5.812463682219403793e+00,4.663519415712507055e+00,4.077873287972172633e+00,3.336442166214306670e+00,3.078027967882552396e+00,2.530200472855638427e+00,2.082799168648381993e+00
1.034708503640118948e+01,5.660613603090887125e+00,4.604902462848289524e+00,4.139657028797137706e+00,3.273119213760371071e+00,3.035743711052078631e+00,2.477254893873377828e+00,2.162533780844142495e+00
1.028546734806071328e+01,5.637789643125751482e+00,4.587578511736020381e+00,4.130476844157690230e+00,3.237520149573052564e+00,3.042157011375620002e+00,2.456097332806998601e+00,2.165626079264107773e+00
1.008309062902656095e+01,5.498414257999609589e+00,5.009620148320580668e+00,4.067670544988532200e+00,3.329949306168500822e+00,2.991117190084362054e+00,2.398454818210279615e+00,2.176752561924991891e+00
9.985794228811407436e+00,5.546322679412518220e+00,4.969187116079420541e+00,4.124599221369782853e+00,3.291568505129845335e+00,2.962413273643531131e+00,2.368178634711266550e+00,2.161091228903282868e+00
9.985583568691289713e+00,5.535671961788502848e+00,4.949092093322387420e+00,4.130935691111629282e+00,3.276492212386578284e+00,3.000041844565531246e+00,2.355962407350266297e+00,2.159339926602545479e+00
