cell_rank,dpt
242,1.1078010477918108
243,1.108588952904367
244,1.109601323148859
245,1.11032436455867
246,1.110390599329731
247,1.1105666474818028
248,1.114883740862512
249,1.115355034120288
250,1.1170975176170694
251,1.1201410697683152
252,1.1205842802381183
253,1.1218546300580972
254,1.1247094742256867
255,1.1247732629252505
256,1.1265369521628117
257,1.1270250293490474
258,1.1270559092144525
259,1.129019193768308
260,1.1296436891841304
261,1.1307456233869857
262,1.1329201132139366
263,1.1341662860706456
264,1.1345350839668378
265,1.1347227669916544
266,1.1354999478228265
267,1.1357825465043034
268,1.137176711271094
269,1.1382935161524284
270,1.138300944484244
271,1.1388753629456967
272,1.1397756761634534
273,1.1406108917362419
274,1.1415859292225317
275,1.1418808552457196
276,1.1435314161732277
277,1.1435526652795314
278,1.1436838795084794
279,1.144633877914643
280,1.1451590611451674
281,1.1465765428661698
282,1.1466249596103457
283,1.1481261291733134
284,1.1483527937331124
285,1.1485038805087167
286,1.1493715146509835
287,1.1495215068028706
288,1.1513956190411474
289,1.1515612617398545
290,1.1516967565680445
291,1.152255876285532
292,1.152327993545487
293,1.1528722850811142
294,1.1543460198858724
295,1.1546057340753018
296,1.1548762745964887
297,1.1566900056568703
298,1.1570349385621177
299,1.1572315828286608
300,1.1578346528398928
301,1.1591566108811688
302,1.1611305826103195
303,1.162038224699994
304,1.1631147210914585
305,1.1647762071700565
306,1.1656178372268322
307,1.1662188383304648
308,1.1663325581632114
309,1.1671509258370627
310,1.1683473257740062
311,1.168398277531459
312,1.1692028131183114
313,1.1693394617804322
314,1.1711707909032907
315,1.171956119615768
316,1.174709521223581
317,1.175550960545787
318,1.1761900040113535
319,1.1766833342630707
320,1.17668866702073
321,1.1776576544905206
322,1.1777142599808126
323,1.178828619246389
324,1.1794160601947952
325,1.179730247423842
326,1.1797423152318365
327,1.182084881697767
328,1.1823054157540565
329,1.1828575705203086
330,1.1846189867148949
331,1.1859280489635915
332,1.1859702506384464
333,1.1861585089270585
334,1.1861908921484736
335,1.1862210313740538
336,1.1869709934520065
337,1.1886364867331174
338,1.1900111765369643
339,1.1900427351551273
340,1.1901813889238646
341,1.1902969728287693
342,1.1903817315887533
343,1.1921464608271963
344,1.19351173084889
345,1.1938396536549551
