eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8
4.633036865051773923e+00,2.326828238812191252e+00,2.002640925140256822e+00,1.391599551738249119e+00,5.902771346898340044e-01,4.150443730100115691e-01,3.347050170554975446e-01,2.600419903302129132e-01
4.644889522211816946e+00,2.327901703310133463e+00,2.003000789244138158e+00,1.390024928822771511e+00,5.898672363540921060e-01,4.145487571665155135e-01,3.351474935956234580e-01,2.601526135731391243e-01
4.656609033364253136e+00,2.329003817992592040e+00,2.003356682747218009e+00,1.388467355890886212e+00,5.894667178309831446e-01,4.140616931848412063e-01,3.355966970966473006e-01,2.602616311474700295e-01
4.668198337846887647e+00,2.330133659319232553e+00,2.003708774642796620e+00,1.386926669069036944e+00,5.890755279475016204e-01,4.135830085906203601e-01,3.360525132082526900e-01,2.603689757883778100e-01
4.679660291280379525e+00,2.331290332382867536e+00,2.004057226865696872e+00,1.385402705507421617e+00,5.886936192363806386e-01,4.131125393496328235e-01,3.365148309625627387e-01,2.604745846537434573e-01
4.690997668283902300e+00,2.332472970595391715e+00,2.004402194529993686e+00,1.383895303582543646e+00,5.883209478576109097e-01,4.126501296058848745e-01,3.369835423811283759e-01,2.605783992981711705e-01
4.702213165149309759e+00,2.333680735336970624e+00,2.004743826151241581e+00,1.382404303063359485e+00,5.879574735160232324e-01,4.121956314159038182e-01,3.374585421069583591e-01,2.606803656332959407e-01
4.713309402470491349e+00,2.334912815568226829e+00,2.005082263856010183e+00,1.380929545246374790e+00,5.876031593756754212e-01,4.117489044798666731e-01,3.379397270602409464e-01,2.607804338755974616e-01
4.724288927724629161e+00,2.336168427406141390e+00,2.005417643581084874e+00,1.379470873064454262e+00,5.872579719717159197e-01,4.113098158704035501e-01,3.384269961164981244e-01,2.608785584829163562e-01
4.735154217802403309e+00,2.337446813665070788e+00,2.005750095264341670e+00,1.378028131173515192e+00,5.869218811202958630e-01,4.108782397600317937e-01,3.389202498059500357e-01,2.609746980808140271e-01
4.745907681484505147e+00,2.338747243364902140e+00,2.006079743028923446e+00,1.376601166020799294e+00,5.865948598270304126e-01,4.104540571482546696e-01,3.394193900330156333e-01,2.610688153798926270e-01
4.756551661861932345e+00,2.340069011208834038e+00,2.006406705361949872e+00,1.375189825897884077e+00,5.862768841944359099e-01,4.100371555894008480e-01,3.399243198147755551e-01,2.611608770851192030e-01
4.767088438698063868e+00,2.341411437033539933e+00,2.006731095288898814e+00,1.373793960981213536e+00,5.859679333287252101e-01,4.096274289222844867e-01,3.404349430374480345e-01,2.612508537981583223e-01
4.777520230730508466e+00,2.342773865234735631e+00,2.007053020544384392e+00,1.372413423362497387e+00,5.856679892462686166e-01,4.092247770027319098e-01,3.409511642298215794e-01,2.613387199136643080e-01
4.787849197911318910e+00,2.344155664171283515e+00,2.007372583739956529e+00,1.371048067070966381e+00,5.853770367799991936e-01,4.088291054400004509e-01,3.414728883527272107e-01,2.614244535104285894e-01
4.798077443584186419e+00,2.345556225551042928e+00,2.007689882529394954e+00,1.369697748089190315e+00,5.850950634860110355e-01,4.084403253380259891e-01,3.420000206036107882e-01,2.615080362382320445e-01
4.808207016597713768e+00,2.346974963801604197e+00,2.008005009771708149e+00,1.368362324363842975e+00,5.848220595505120301e-01,4.080583530423922967e-01,3.425324662353355087e-01,2.615894532011883711e-01
4.818239913353938420e+00,2.348411315429041135e+00,2.008318053692105476e+00,1.367041655812565759e+00,5.845580176973405040e-01,4.076831098938306086e-01,3.430701303882989217e-01,2.616686928383344934e-01
4.828178079791729083e+00,2.349864738367712480e+00,2.008629098040980665e+00,1.365735604327860786e+00,5.843029330961447831e-01,4.073145219889701130e-01,3.436129179350903007e-01,2.617457468021551215e-01
4.838023413304803455e+00,2.351334711323955329e+00,2.008938222250959527e+00,1.364444033778765331e+00,5.840568032713857605e-01,4.069525199490024447e-01,3.441607333368045807e-01,2.618206098357017120e-01
4.847777764594352945e+00,2.352820733116414598e+00,2.009245501591919059e+00,1.363166810010865815e+00,5.838196280122045501e-01,4.065970386968253969e-01,3.447134805102124444e-01,2.618932796488967485e-01
4.857442939456584341e+00,2.354322322015548696e+00,2.009551007323961080e+00,1.361903800845113199e+00,5.835914092832874545e-01,4.062480172431723324e-01,3.452710627050309400e-01,2.619637567946034307e-01
4.867020700505507946e+00,2.355839015084683297e+00,2.009854806848190290e+00,1.360654876075744646e+00,5.833721511367476742e-01,4.059053984821635597e-01,3.458333823904445881e-01,2.620320445449516034e-01
4.876512768831688049e+00,2.357370367524759924e+00,2.010156963855183943e+00,1.359419907467553035e+00,5.831618596250888187e-01,4.055691289966551483e-01,3.464003411501759833e-01,2.620981487684164168e-01
4.885920825597690254e+00,2.358915952024809304e+00,2.010457538471018601e+00,1.358198768752628238e+00,5.829605427152994013e-01,4.052391588737002670e-01,3.469718395852746107e-01,2.621620778080676617e-01
4.895246513571221314e+00,2.360475358119866751e+00,2.010756587400679418e+00,1.356991335626679618e+00,5.827682102040702139e-01,4.049154415304114796e-01,3.475477772239166652e-01,2.622238423613874048e-01
4.904491438596988218e+00,2.362048191558026478e+00,2.011054164068765804e+00,1.355797485744941966e+00,5.825848736341895373e-01,4.045979335504502616e-01,3.481280524374439911e-01,2.622834553620143061e-01
4.913657171008546598e+00,2.363634073677950198e+00,2.011350318757312738e+00,1.354617098717683987e+00,5.824105462121023091e-01,4.042865945313625642e-01,3.487125623618784753e-01,2.623409318637132115e-01
4.922745246981416578e+00,2.365232640798159203e+00,2.011645098740611814e+00,1.353450056105255150e+00,5.822452427266425756e-01,4.039813869429446092e-01,3.493012028241905820e-01,2.623962889268721121e-01
4.931757169828895115e+00,2.366843543619158385e+00,2.011938548416930761e+00,1.352296241412645150e+00,5.820889794689417807e-01,4.036822759968214380e-01,3.498938682725460936e-01,2.624495455077465178e-01
4.940694411242031236e+00,2.368466446639303502e+00,2.012230709437019982e+00,1.351155540083451845e+00,5.819417741534981259e-01,4.033892295274070228e-01,3.504904517097653383e-01,2.625007223506741760e-01
4.949558412475346891e+00,2.370101027585206577e+00,2.012521620829321733e+00,1.350027839493221249e+00,5.818036458404023392e-01,4.031022178844315684e-01,3.510908446292734797e-01,2.625498418834391057e-01
4.958350585479864847e+00,2.371746976857326938e+00,2.012811319121788678e+00,1.348913028942049674e+00,5.816746148587038645e-01,4.028212138372255224e-01,3.516949369526865543e-01,2.625969281159214463e-01
4.967072313985128496e+00,2.373403996991213738e+00,2.013099838460298940e+00,1.347810999646379848e+00,5.815547027308910488e-01,4.025461924909859435e-01,3.523026169682786368e-01,2.626420065421582462e-01
